stationName,date,record,maxAirTmp,timeMaxAirTmp,minAirTmp,timeMinAirTmp,avgAirTmp,avgRelHum,avgDewPoint,maxRelHum,timeMaxRelHum,maxDewPoint,timeMaxDewPoint,minRelHum,timeMinRelHum,minDewPoint,timeMinDewPoint,avgWindSpeed,maxWindSpeed,timeMaxWindSpeed,maxWindSpeedDir,precip,solRad,eto,etoFlag,hstAirTmp01,hstAirTmp02,hstAirTmp03,hstAirTmp04,hstAirTmp05,hstAirTmp06,hstAirTmp07,hstAirTmp08,hstAirTmp09,hstAirTmp10,hstAirTmp11,hstAirTmp12,hstAirTmp13,batVolt,yearRain,eto7,eto30,maxSoilTmp,minSoilTmp,avgSoilTmp
Coastal,2019-01-11,0,59.67,1232.0,44.8,645.0,48.9,92.9,,,,,,,,,,1.733,15.49,2339.0,102.0,0.0,171.3,0.039,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-12,0,59.75,1433.0,43.28,2254.0,48.88,90.3,,,,,,,,,,2.304,20.52,408.0,129.0,0.77,239.3,0.057,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-13,0,58.57,1355.0,40.41,425.0,49.46,78.79,,,,,,,,,,1.278,13.82,2302.0,105.0,0.0,207.2,0.049,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-14,0,53.72,659.0,47.09,1418.0,49.81,79.97,,,,,,,,,,3.984,22.2,931.0,112.0,0.7,34.29,0.022,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-15,0,57.05,1158.0,45.57,817.0,50.12,91.8,,,,,,,,,,5.135,28.91,1837.0,116.0,1.17,123.9,0.035,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-16,0,55.11,1547.0,50.97,712.0,53.15,98.2,,,,,,,,,,5.063,22.2,1100.0,166.0,0.96,90.5,0.02,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-17,0,55.47,1526.0,49.89,2230.0,53.75,100.0,,,,,,,,,,2.647,20.52,515.0,119.0,1.03,26.78,0.007,M,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-18,0,60.56,1416.0,49.16,1837.0,52.39,95.7,,,,,,,,,,0.198,7.108,1156.0,154.0,0.0,167.2,0.039,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-19,0,72.99,1100.0,44.98,434.0,57.46,66.89,,,,,,,,,,0.899,7.108,2247.0,107.0,0.0,301.1,0.076,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-20,0,70.9,1022.0,49.4,655.0,56.48,71.58,,,,,,,,,,0.736,12.14,1415.0,304.0,0.0,245.4,0.063,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-21,0,59.47,1216.0,42.0,2301.0,49.91,61.83,,,,,,,,,,2.832,18.85,1040.0,298.0,0.0,322.7,0.083,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-22,0,,,,,,,,,,,,,,,,,,,,,,0.077467,A,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-23,0,,,,,,,,,,,,,,,,,,,,,,0.077467,A,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-24,0,,,,,,,,,,,,,,,,,,,,,,0.077467,A,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-25,0,74.55,1205.0,39.7,214.0,63.43,28.05,,,,,,,,,,1.154,15.49,746.0,104.0,0.0,1275.0,0.327,S,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-26,0,77.77,1216.0,51.82,2313.0,64.82,19.98,,,,,,,,,,1.933,20.52,332.0,96.0,0.0,337.1,0.104,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-27,0,73.86,951.0,47.74,638.0,58.27,34.51,,,,,,,,,,0.764,5.431,201.0,108.0,0.0,360.9,0.09,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-28,0,71.94,1404.0,39.36,536.0,55.49,54.49,,,,,,,,,,0.705,7.108,242.0,109.0,0.0,266.4,0.066,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-29,0,65.22,1412.0,48.52,405.0,55.18,74.95,,,,,,,,,,1.931,13.82,1959.0,124.0,0.0,298.4,0.072,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-30,0,62.07,1328.0,48.89,437.0,53.0,94.2,,,,,,,,,,2.117,13.82,2038.0,104.0,0.0,231.1,0.055,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-01-31,0,54.33,1001.0,45.92,2153.0,50.69,98.5,,,,,,,,,,3.613,25.56,1455.0,99.0,0.74,72.79,0.016,M,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-01,0,59.44,1323.0,44.2,211.0,51.13,90.4,,,,,,,,,,2.648,17.17,2150.0,93.0,0.0,254.5,0.058,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-02,0,55.06,1022.0,45.79,2355.0,50.36,99.0,,,,,,,,,,6.715,40.65,1052.0,135.0,1.49,43.63,0.009,M,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-03,0,53.84,1455.0,45.18,37.0,48.44,99.9,,,,,,,,,,1.659,10.46,450.0,113.0,0.32,130.9,0.029,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-04,0,52.85,1228.0,45.3,2359.0,48.4,99.5,,,,,,,,,,1.751,15.49,341.0,210.0,0.42,93.0,0.02,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-05,0,51.39,1421.0,40.16,2120.0,45.28,86.9,,,,,,,,,,1.47,23.88,2104.0,331.0,0.15,223.8,0.046,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-06,0,53.95,1143.0,33.82,700.0,43.08,57.36,,,,,,,,,,1.744,12.14,1413.0,352.0,0.0,384.5,0.082,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-07,0,58.71,1121.0,37.36,103.0,47.16,51.76,,,,,,,,,,1.54,10.46,320.0,96.0,0.0,383.3,0.087,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-08,0,59.07,1111.0,34.43,450.0,45.41,79.57,,,,,,,,,,0.552,7.108,1158.0,273.0,0.0,385.6,0.086,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-09,0,57.91,1317.0,39.38,2.0,47.29,86.5,,,,,,,,,,1.457,12.14,618.0,118.0,0.33,316.1,0.072,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-10,0,56.88,1130.0,37.42,2317.0,45.76,91.6,,,,,,,,,,1.065,12.14,1908.0,275.0,0.28,196.2,0.046,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-11,0,57.29,1509.0,33.3,300.0,47.1,65.86,,,,,,,,,,0.654,13.82,1254.0,143.0,0.0,395.1,0.074,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-12,0,68.6,1149.0,37.52,348.0,54.25,40.57,,,,,,,,,,1.311,7.108,1018.0,90.0,0.0,303.1,0.088,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-13,0,58.29,935.0,48.15,1423.0,53.24,61.4,,,,,,,,,,6.273,28.91,2248.0,124.0,0.39,100.8,0.056,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-14,0,59.07,1150.0,48.83,2338.0,54.59,99.7,,,,,,,,,,4.891,27.23,257.0,106.0,3.44,31.96,0.008,M,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-15,0,60.94,1112.0,45.66,611.0,51.68,90.5,,,,,,,,,,0.666,8.79,2321.0,273.0,0.19,293.9,0.07,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-16,0,60.09,1148.0,43.42,543.0,50.66,73.72,,,,,,,,,,2.381,13.82,1621.0,276.0,0.01,416.1,0.099,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-17,0,58.39,1101.0,43.4,2351.0,49.38,73.25,,,,,,,,,,3.044,22.2,2129.0,271.0,0.0,309.6,0.074,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-18,0,56.94,1131.0,34.67,705.0,45.46,61.36,,,,,,,,,,1.1,12.14,1635.0,83.0,0.0,425.1,0.097,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-19,0,57.92,1245.0,38.92,54.0,47.52,53.85,,,,,,,,,,1.007,8.79,413.0,75.0,0.0,429.5,0.1,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-20,0,55.74,1114.0,35.94,146.0,46.15,76.64,,,,,,,,,,2.527,15.49,2207.0,281.0,0.32,241.6,0.06,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-21,0,56.17,1330.0,38.74,2327.0,46.53,69.27,,,,,,,,,,2.422,18.85,1622.0,43.0,0.0,281.5,0.068,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-22,0,58.77,1240.0,33.77,406.0,46.15,65.2,,,,,,,,,,0.53,7.108,902.0,268.0,0.0,445.7,0.103,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-23,0,61.55,1350.0,38.07,117.0,50.2,66.92,,,,,,,,,,1.297,8.79,444.0,75.0,0.0,450.1,0.11,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-24,0,66.78,1107.0,43.72,623.0,52.36,56.49,,,,,,,,,,0.519,7.108,1233.0,231.0,0.0,430.6,0.109,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-25,0,65.43,1346.0,43.89,337.0,52.45,77.38,,,,,,,,,,1.101,8.79,746.0,118.0,0.0,428.0,0.109,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-26,0,63.26,1318.0,43.65,542.0,51.94,89.3,,,,,,,,,,0.739,7.108,253.0,110.0,0.0,317.2,0.078,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-27,0,62.89,1421.0,47.0,100.0,54.07,79.72,,,,,,,,,,0.629,7.108,1127.0,110.0,0.0,330.4,0.083,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-02-28,0,67.5,1142.0,53.3,213.0,57.79,86.0,,,,,,,,,,0.633,7.108,2.0,88.0,0.01,363.7,0.097,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-01,0,65.31,1323.0,48.46,2258.0,55.36,92.0,,,,,,,,,,0.31,7.108,2324.0,88.0,0.01,245.0,0.065,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-02,0,57.8,1517.0,51.78,646.0,54.8,98.2,,,,,,,,,,3.862,20.52,959.0,121.0,1.05,60.05,0.015,M,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-03,0,62.15,1046.0,51.42,2349.0,54.95,94.6,,,,,,,,,,0.222,7.108,1018.0,244.0,0.09,297.1,0.073,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-04,0,62.65,1306.0,46.15,2219.0,53.13,88.8,,,,,,,,,,0.317,7.108,1222.0,237.0,0.0,313.5,0.078,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-05,0,66.67,1215.0,44.08,420.0,55.49,74.24,,,,,,,,,,2.749,22.2,2034.0,152.0,0.0,305.9,0.091,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-06,0,64.49,32.0,53.18,439.0,55.77,88.8,,,,,,,,,,3.837,23.88,1017.0,66.0,0.41,71.99,0.023,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-07,0,63.14,1234.0,47.79,2208.0,53.83,87.7,,,,,,,,,,0.542,10.46,1520.0,222.0,0.01,352.2,0.088,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-08,0,59.38,1236.0,44.56,2059.0,50.99,76.48,,,,,,,,,,1.899,18.85,1107.0,263.0,0.01,465.3,0.11,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-09,0,60.34,1308.0,42.92,2158.0,50.15,77.29,,,,,,,,,,2.571,13.82,635.0,97.0,0.0,411.2,0.101,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-10,0,59.85,1338.0,41.53,541.0,49.83,79.1,,,,,,,,,,0.635,8.79,1233.0,246.0,0.0,353.5,0.087,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-11,0,66.19,1304.0,45.18,528.0,52.58,74.79,,,,,,,,,,0.767,10.46,1442.0,80.0,0.05,171.5,0.051,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-12,0,65.45,1258.0,47.3,636.0,54.05,85.0,,,,,,,,,,1.437,13.82,2104.0,169.0,0.13,483.0,0.122,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-13,0,63.85,1414.0,44.01,2150.0,53.27,73.77,,,,,,,,,,2.62,15.49,515.0,95.0,0.0,424.9,0.109,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-14,0,70.06,1255.0,52.72,640.0,59.46,24.64,,,,,,,,,,3.876,23.88,756.0,87.0,0.0,515.7,0.172,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-15,0,75.62,1436.0,54.65,308.0,62.78,23.31,,,,,,,,,,2.395,12.14,714.0,73.0,0.0,510.4,0.16,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-16,0,77.32,1047.0,56.21,2018.0,66.08,25.9,,,,,,,,,,1.733,12.14,329.0,88.0,0.0,531.4,0.163,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-17,0,81.0,1147.0,53.55,605.0,66.27,41.71,,,,,,,,,,2.012,15.49,2129.0,102.0,0.0,531.0,0.162,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-18,0,74.17,1203.0,48.46,322.0,60.35,56.77,,,,,,,,,,1.704,10.46,1819.0,105.0,0.0,546.3,0.158,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-19,0,64.38,836.0,47.79,240.0,54.86,81.3,,,,,,,,,,3.627,17.17,1256.0,81.0,0.0,366.6,0.091,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-20,0,64.72,1307.0,50.99,1920.0,55.67,85.7,,,,,,,,,,2.611,13.82,245.0,89.0,0.0,355.9,0.094,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-21,0,62.91,1405.0,46.21,2131.0,52.44,84.0,,,,,,,,,,0.389,8.79,1504.0,233.0,0.03,289.5,0.074,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-22,0,64.6,1317.0,47.0,615.0,53.9,83.6,,,,,,,,,,0.58,7.108,1252.0,226.0,0.0,401.2,0.103,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-23,0,64.96,1301.0,44.56,323.0,53.93,87.3,,,,,,,,,,0.534,7.108,1324.0,164.0,0.0,375.7,0.097,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-24,0,66.76,1432.0,47.55,28.0,56.25,85.2,,,,,,,,,,0.61,7.108,339.0,92.0,0.0,466.4,0.126,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-25,0,72.84,1040.0,49.44,45.0,58.19,75.62,,,,,,,,,,0.45,7.108,1415.0,291.0,0.0,531.1,0.147,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-26,0,69.81,1357.0,45.9,546.0,56.37,84.3,,,,,,,,,,0.331,7.108,1422.0,161.0,0.0,435.5,0.117,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-27,0,68.35,1403.0,49.19,154.0,57.29,88.5,,,,,,,,,,0.588,8.79,1212.0,256.0,0.0,444.3,0.122,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-28,0,67.26,1247.0,49.8,2141.0,56.96,84.1,,,,,,,,,,0.596,10.46,1142.0,270.0,0.0,478.5,0.128,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-29,0,67.37,1440.0,48.95,2338.0,56.31,79.36,,,,,,,,,,1.159,8.79,728.0,106.0,0.0,489.9,0.131,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-30,0,76.23,1251.0,45.05,455.0,61.15,60.58,,,,,,,,,,0.728,5.431,134.0,107.0,0.0,544.1,0.156,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-03-31,0,80.3,1331.0,50.84,559.0,66.17,40.8,,,,,,,,,,0.586,5.431,719.0,86.0,0.0,550.5,0.163,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-01,0,81.9,1206.0,52.57,527.0,66.67,43.19,,,,,,,,,,1.071,8.79,2024.0,96.0,0.0,518.7,0.156,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-02,0,65.45,1017.0,52.94,1854.0,57.66,85.6,,,,,,,,,,3.312,15.49,308.0,97.0,0.01,383.4,0.1,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-03,0,65.69,1143.0,50.17,2355.0,56.08,88.0,,,,,,,,,,0.449,10.46,1232.0,256.0,0.08,419.8,0.092,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-04,0,66.89,1332.0,50.04,5.0,56.59,79.87,,,,,,,,,,0.289,7.108,1052.0,183.0,0.0,438.9,0.12,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-05,0,66.68,1155.0,50.17,601.0,58.41,76.61,,,,,,,,,,0.606,8.79,1417.0,254.0,0.01,379.4,0.101,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-06,0,68.27,1259.0,52.52,126.0,58.02,81.1,,,,,,,,,,0.363,7.108,926.0,258.0,0.0,443.4,0.122,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-07,0,80.0,1323.0,51.18,210.0,64.06,67.68,,,,,,,,,,0.425,7.108,1317.0,298.0,0.0,513.3,0.15,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-08,0,85.8,1233.0,55.5,529.0,69.03,56.78,,,,,,,,,,0.768,12.14,2251.0,72.0,0.0,514.8,0.16,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-09,0,69.3,1255.0,56.29,1935.0,60.83,70.02,,,,,,,,,,3.134,20.52,2156.0,297.0,0.0,468.8,0.143,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-10,0,72.58,959.0,49.74,619.0,60.34,44.53,,,,,,,,,,1.273,13.82,1433.0,290.0,0.0,578.8,0.171,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-11,0,69.18,1409.0,48.76,155.0,58.6,64.67,,,,,,,,,,2.458,17.17,2213.0,125.0,0.0,475.2,0.135,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-12,0,69.41,1345.0,50.96,407.0,58.29,72.24,,,,,,,,,,2.444,13.82,100.0,118.0,0.0,544.2,0.153,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-13,0,73.78,1122.0,47.78,444.0,61.08,59.88,,,,,,,,,,0.476,7.108,10.0,128.0,0.0,580.9,0.166,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-14,0,75.99,1223.0,49.73,118.0,60.46,62.25,,,,,,,,,,0.863,10.46,349.0,122.0,0.0,554.8,0.158,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-15,0,67.05,1330.0,45.71,354.0,55.22,79.66,,,,,,,,,,1.006,12.14,2206.0,143.0,0.0,496.7,0.133,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-16,0,66.09,1226.0,49.0,2359.0,56.34,77.72,,,,,,,,,,1.17,12.14,903.0,126.0,0.0,430.4,0.118,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-17,0,70.63,1315.0,48.15,304.0,59.09,71.21,,,,,,,,,,0.589,8.79,1346.0,125.0,0.0,585.8,0.162,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-18,0,80.8,1333.0,50.96,302.0,64.14,62.06,,,,,,,,,,0.809,8.79,2224.0,119.0,0.0,579.0,0.172,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-19,0,67.61,1132.0,51.97,556.0,57.16,86.8,,,,,,,,,,0.355,7.108,1059.0,159.0,0.0,465.8,0.125,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-20,0,64.81,1231.0,50.22,2321.0,55.69,82.0,,,,,,,,,,0.245,7.108,933.0,206.0,0.0,330.4,0.089,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-21,0,66.5,1108.0,47.23,422.0,55.61,77.89,,,,,,,,,,0.828,8.79,651.0,80.0,0.0,518.1,0.139,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-22,0,67.96,1233.0,48.33,509.0,57.1,80.7,,,,,,,,,,1.517,12.14,1958.0,93.0,0.0,508.2,0.138,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-23,0,69.42,1335.0,50.35,202.0,59.57,78.65,,,,,,,,,,1.143,10.46,2140.0,113.0,0.0,564.9,0.157,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-24,0,72.45,1329.0,53.49,240.0,60.01,84.4,,,,,,,,,,1.814,10.46,1000.0,156.0,0.0,520.4,0.149,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-25,0,69.53,1442.0,54.34,632.0,59.68,84.3,,,,,,,,,,0.472,7.108,304.0,113.0,0.0,571.8,0.16,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-26,0,66.68,1243.0,54.22,110.0,58.15,84.4,,,,,,,,,,0.422,7.108,227.0,161.0,0.0,465.0,0.128,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-27,0,64.92,1452.0,53.98,329.0,56.5,89.4,,,,,,,,,,0.141,7.108,1601.0,304.0,0.0,182.0,0.051,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-28,0,66.33,1022.0,54.34,111.0,57.77,84.3,,,,,,,,,,0.776,15.49,1920.0,122.0,0.0,346.3,0.097,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-29,0,68.94,1237.0,51.56,2300.0,57.45,83.4,,,,,,,,,,1.459,13.82,550.0,132.0,0.04,393.5,0.11,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-04-30,0,65.89,1318.0,49.73,2103.0,56.37,82.6,,,,,,,,,,0.179,7.108,945.0,312.0,0.04,346.9,0.095,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-01,0,67.59,1242.0,49.86,426.0,58.12,73.81,,,,,,,,,,0.553,8.79,1458.0,317.0,0.0,548.1,0.151,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-02,0,68.92,1411.0,48.33,231.0,57.56,83.9,,,,,,,,,,0.383,7.108,1055.0,305.0,0.0,463.5,0.129,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-03,0,68.55,1349.0,53.61,2157.0,59.47,80.2,,,,,,,,,,0.606,8.79,910.0,152.0,0.0,570.8,0.16,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-04,0,68.75,1301.0,53.61,426.0,58.71,82.6,,,,,,,,,,0.462,10.46,1233.0,210.0,0.0,501.6,0.142,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-05,0,67.35,1104.0,53.98,2028.0,58.68,77.67,,,,,,,,,,0.437,10.46,1149.0,149.0,0.0,500.0,0.139,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-06,0,68.56,1311.0,52.1,538.0,58.63,79.82,,,,,,,,,,0.367,7.108,1042.0,181.0,0.0,591.2,0.164,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-07,0,68.33,1210.0,51.98,2223.0,57.8,78.42,,,,,,,,,,0.354,8.79,1148.0,152.0,0.0,507.1,0.14,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-08,0,63.7,1343.0,54.22,9.0,57.38,81.6,,,,,,,,,,0.203,7.108,1328.0,320.0,0.0,215.8,0.063,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-09,0,66.37,1243.0,54.22,614.0,57.75,83.1,,,,,,,,,,0.464,7.108,1359.0,219.0,0.0,243.8,0.071,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-10,0,66.58,1221.0,53.49,2312.0,57.54,85.4,,,,,,,,,,1.272,10.46,913.0,106.0,0.04,171.0,0.053,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-11,0,73.29,1116.0,53.0,20.0,61.02,78.69,,,,,,,,,,0.492,8.79,1150.0,314.0,0.0,524.9,0.153,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-12,0,70.63,1244.0,56.18,2.0,61.25,81.8,,,,,,,,,,2.131,10.46,2029.0,91.0,0.0,427.7,0.127,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-13,0,65.89,1501.0,56.22,1930.0,59.32,88.5,,,,,,,,,,0.284,10.46,2.0,143.0,0.0,193.9,0.056,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-14,0,68.8,1400.0,55.86,1947.0,59.62,88.5,,,,,,,,,,0.145,5.431,1252.0,253.0,0.01,307.1,0.087,*,,,,,,,,,,,,,,,,,,,,
Coastal,2019-05-15,0,66.15,1225.0,52.7,2340.0,58.74,84.2,,,,,,,,,,0.364,8.79,733.0,99.0,0.0,182.0,0.054,*,,,,,,,,,,,,,,,,,,,,
